X,Y,OBJECTID,ROW_,LOCATION,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKETTYPE,FINEAMT,TOTALPAID,PENALTY1,PENALTY2,ACCIDENTINDICATOR,AGENCYID,TICKETISSUEDATE,VIOLATIONCODE,VIOLATIONDESC,ROW_ID
-77.019418897099996,38.903461406200002,232588,1651514,500 NEW YORK AVE NW,300627,4845,398315.81,137288.86,Moving,100,200,100,,No,1,2011-08-11T00:00:00.000Z,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE",
-76.991106397500005,38.938038068300003,232320,1651493,1100 BLOCK MICHIGAN AVE N.E. (WB),811071,9493,400771.2521,141127.0188,Photo,150,150,,,No,25,2011-08-11T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,
-77.083933271199996,38.959331065,232355,1662259,5300 43RD ST NW,274840,11542,392725.56,143494.04,Moving,100,200,100,,No,2,2011-08-27T00:00:00.000Z,T672,FAIL TO DISPLAY CURRENT TAGS,
-77.006192194799993,38.927443584400002,232361,1653775,100 BLK MICHIGAN AVE NE W/B,146162,2623,399463.27,139950.92,Photo,125,0,125,,No,25,2011-08-14T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.995608706,38.912332286599998,232366,1648169,600 BLK NEW YORK AVENUE NE W/B,288753,14658,400381.05,138273.43,Photo,125,125,125,,No,25,2011-08-06T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.080400832099997,38.949692534699999,232764,1656058,WISCONSIN N/B @ BRANDYWINE NW,806860,5886,393030.78,142423.8,Photo,150,150,,,No,25,2011-08-17T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.006192194799993,38.927443584400002,232765,1649920,100 BLK MICHIGAN AVENUE NE E/B,146162,2623,399463.27,139950.92,Photo,125,0,,,No,25,2011-08-08T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.971844133600001,38.917707314200001,232825,1653809,2300 NEW YORK AVE NE,286777,292,402441.94,138870.47,Moving,100,100,,,No,5,2011-08-14T00:00:00.000Z,T082,ONE WAY STREET VIOLATION,
-77.006192194799993,38.927443584400002,233298,1663317,100 BLK MICHIGAN AVENUE NE E/B,146162,2623,399463.27,139950.92,Photo,125,125,,,No,25,2011-08-30T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.080400832099997,38.949692534699999,233540,1659344,WISCONSIN N/B @ BRANDYWINE NW,806860,5886,393030.78,142423.8,Photo,150,150,,,No,25,2011-08-22T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.014778132800004,38.905369265600001,233568,1664208,NEW YORK AVE. W/B @ NEW JERSEY NW,808095,6936,398718.3825,137500.5724,Photo,150,150,,,No,25,2011-08-31T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.0072437428,38.938546666,233583,1657380,3100 BLK N CAPITOL ST NW SB,816000,14265,399372.1876,141183.465,Photo,125,250,125,,No,25,2011-08-19T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.95237695199999,38.859664879599997,233993,1649882,3700 BLK SOUTHERN AVENUE SE (SW/B),31943,1435,404133.54,132428.01,Photo,150,150,,,No,25,2011-08-08T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,
