X,Y,OBJECTID,ROW_,LOCATION,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKETTYPE,FINEAMT,TOTALPAID,PENALTY1,PENALTY2,ACCIDENTINDICATOR,AGENCYID,TICKETISSUEDATE,VIOLATIONCODE,VIOLATIONDESC,ROW_ID
-77.019910798799998,38.900875123500001,638,1547127,6TH & EYE ST NW,906719,2578,398273.079996,137001.771037,Moving,100,100,,,No,1,2011-02-14T00:00:00.000Z,T116,TURN RIGHT ON RED WHEN PROHIBITED,
-77.018353403,38.8174155695,641,1547017,DC 295 SW . 7 MILES SOUTH OF EXIT,,6993,398406.31,127737.1299,Photo,125,125,,,No,25,2011-02-14T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.995608706,38.912332286599998,647,1548611,600 BLK NEW YORK AVENUE NE W/B,288753,14658,400381.05,138273.43,Photo,150,150,,,No,25,2011-02-17T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,
-76.921795734499995,38.889758719900001,649,1540043,5500 BLK EAST CAPITOL ST NE (E/B),808209,7032,406784.91,135770.48,Photo,125,125,,,No,25,2011-02-01T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.960020092199997,38.890105241,650,1549865,3300 BLK. E. CAPITOL ST. NE W/B,150671,4592,403468.69,135806.8,Photo,125,125,,,No,25,2011-02-19T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.037255568099994,38.910884643800003,2454,1545738,1600 Q ST E/B NW,226121,1845,396769,138113.38,Moving,25,50,25,,No,25,2011-02-12T00:00:00.000Z,T112,DISOBEY TRAFFIC CONTROL DEVICE,
-76.970601778399995,38.917984645099999,2848,1540815,2700 BLK NEW YORK AVE NE (W/B),287175,,402549.67,138901.29,Photo,125,125,,,No,25,2011-02-02T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.080400832099997,38.949692534699999,2982,1547351,WISCONSIN N/B @ BRANDYWINE NW,806860,5886,393030.78,142423.8,Photo,150,150,,,No,25,2011-02-15T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.018353403,38.8174155695,2719,1543251,DC 295 SW . 7 MILES SOUTH OF EXIT,,6993,398406.31,127737.1299,Photo,125,0,125,,No,25,2011-02-07T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.964880425700002,38.897306834,3315,1545146,2800 BLK BENNING ROAD NE E/B,805468,4693,403046.72,136606.06,Photo,125,0,125,,No,25,2011-02-11T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.008036284400006,38.942388574500001,3337,1541757,NORTH CAPITOL N/B @ HAREWOOD NE,807916,6783,399303.5142,141609.9565,Photo,150,150,,,No,25,2011-02-04T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-76.997741564500004,38.862376412700002,3560,1546880,SUITLAND E/B AT FIRTH STERLING SE,,3557,400196.2067,132727.9342,Photo,150,0,150,,No,25,2011-02-14T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.033426931700006,38.9620497839,3570,1553381,MILITARY RD W/B @ 14TH ST NW,900063,4223,397103.139835,143793.029027,Photo,150,150,,,No,25,2011-02-27T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.051173328399997,38.897156769299997,3819,1548173,2400 VIRGINIA AVE NW,274046,,395561.05,136590.06,Moving,150,0,,,No,2,2011-02-16T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,
