X,Y,OBJECTID,ROW_,LOCATION,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKETTYPE,FINEAMT,TOTALPAID,PENALTY1,PENALTY2,ACCIDENTINDICATOR,AGENCYID,TICKETISSUEDATE,VIOLATIONCODE,VIOLATIONDESC,ROW_ID
-77.018912579100004,38.933119795700001,456372,2931054,3500 BLK PARK PL NW S/B,807774,6667,398360.41,140581.18,Photo,100,200,100,,No,25,2014-01-25T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.965164187699997,38.925176211699998,456753,2924789,S DAKOTA SE/B @ BLADENSBURG RD NE,903777,4229,403020.923969,139699.780351,Photo,150,150,,,No,25,2014-01-16T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.021887581100003,38.958977868799998,457310,2929509,600 BLK MISSOURI AVE NW SE/B,812484,10729,398103.155,143451.715,Photo,100,100,,,No,25,2014-01-23T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.995608706,38.912332286599998,456932,2928032,600 BLK NEW YORK AVENUE NE W/B,288753,14658,400381.05,138273.43,Photo,100,200,100,,No,25,2014-01-20T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.023967520799999,38.899817311699998,456999,2934247,9TH ST NW @ H ST NW,902266,1215,397921.15782,136884.430044,Moving,150,150,,,No,25,2014-01-29T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.043912731099994,38.9020787404,457004,2927797,1900 K ST NW,242552,,396191.15,137136.11,Moving,100,0,100,,No,1,2014-01-19T00:00:00.000Z,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE",
-77.041903259799994,38.9143600186,457482,2933332,1800 18TH ST NW BLOCK WEST SIDE,241151,7150,396366.08,138499.35,No Ticket Type,200,200,,,No,16,2014-01-28T00:00:00.000Z,T676,DIRTY TAXICAB,
-77.092240072500005,38.9139016062,458747,2933669,4700 BLK MACARTHUR BLVD NW S/B,807090,6074,392000.5,138451.67,Photo,100,100,,,No,25,2014-01-28T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.977041289799999,38.870085251799999,458748,2930897,1903 MINNESOTA AVE SE,54365,5272,401992.56,133583.92,Moving,30,30,,,Yes,7,2014-01-25T00:00:00.000Z,T333,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,
-76.946761515,38.863749777300001,458786,2929886,PENNSYLVANIA E/B @ SOUTHERN AVE SE,903580,3456,404620.655522,132881.732441,Photo,150,0,150,,No,25,2014-01-23T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-76.984938911699999,38.866951700800001,459360,2929816,1400 GOOD HOPE RD SE,65283,1266,401307.26,133235.93,Moving,100,200,100,,No,6,2014-01-23T00:00:00.000Z,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE",
-76.950346532699996,38.897195081900001,459981,2932260,DC295 NE AT BENNING RD EXIT N/B,,5134,404307.5,136594.24,Photo,100,200,100,,No,25,2014-01-26T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.009181177499997,38.87981334,460397,2922352,S CAPITOL RAMP S/B BEFORE I ST SW,809933,8491,399203.562,134663.6004,Photo,150,150,,,No,25,2014-01-12T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-76.995608706,38.912332286599998,460760,2915750,600 BLK NEW YORK AVENUE NE W/B,288753,14658,400381.05,138273.43,Photo,100,100,,,No,25,2014-01-01T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.972441655400004,38.917336417,460992,2932110,NEW YORK AVE NE @ BLADENSBURG RD NE,903098,292,402390.133952,138829.281502,Moving,50,100,50,,No,5,2014-01-26T00:00:00.000Z,T116,TURN RIGHT ON RED WHEN PROHIBITED,
-77.062813777,38.905184414600001,461343,2926245,M ST NW @ WISCONSIN AVE NW,905660,3141,394551.885849,137481.823229,Moving,30,0,,,No,2,2014-01-17T00:00:00.000Z,T333,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,
-76.972441655400004,38.917336417,461533,2924770,BLADENSBURG RD NE @ NEW YORK AVE NE,903098,292,402390.133952,138829.281502,Moving,100,0,100,,No,5,2014-01-16T00:00:00.000Z,T672,FAIL TO DISPLAY CURRENT TAGS,
-77.031957384500004,38.902530548199998,461760,2928231,14TH ST N/B @ K ST NW,900719,3438,397228.190011,137185.833341,Photo,150,150,,,No,25,2014-01-20T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-76.9513302278,38.888022719799999,463267,2931646,RIDGE RD @ 37TH ST SE,904238,7117,404222.709986,135575.990011,Moving,100,0,100,,Yes,6,2014-01-25T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.021887581100003,38.958977868799998,463270,2934944,600 BLK MISSOURI AVE NW SE/B,812484,10729,398103.155,143451.715,Photo,100,100,,,No,25,2014-01-30T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.092240072500005,38.9139016062,463276,2924882,4700 BLK MACARTHUR BLVD NW S/B,807090,6074,392000.5,138451.67,Photo,100,200,100,,No,25,2014-01-16T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.047024759500005,38.910497274699999,463292,2926651,2100 MASSACHUSETTS AVE W/B NW,225940,8199,395921.69,138070.77,Moving,100,100,,,No,2,2014-01-18T00:00:00.000Z,T115,FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL,
-77.092240072500005,38.9139016062,463299,2920639,4700 BLK MACARTHUR BLVD NW S/B,807090,6074,392000.5,138451.67,Photo,100,100,,,No,25,2014-01-09T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.995608706,38.912332286599998,463829,2917643,600 BLK NEW YORK AVENUE NE W/B,288753,14658,400381.05,138273.43,Photo,100,100,,,No,25,2014-01-04T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-76.979250084100002,38.921625414799998,463349,2929635,2400 18TH ST NE BLOCK EAST SIDE,150388,12107,401799.58,139305.24,Moving,50,0,,,No,5,2014-01-23T00:00:00.000Z,T658,FAIL TO EXHIBIT REGISTRATION,
-76.961492623799998,38.861119140100001,463353,2921442,2300 32ND ST SE,810494,8993,403342.296449,132589.0702,Moving,50,100,50,,No,6,2014-01-10T00:00:00.000Z,T080,FAIL TO EXHIBIT DRIVERS LICENSE OR PERMIT,
-76.959927004799994,38.866872093200001,463985,2921265,1900 BLK BRANCH AVE SE N/B,800638,675,403477.897953,133227.748409,Photo,100,200,100,,No,25,2014-01-10T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,
-77.009181177499997,38.87981334,464762,2922048,S CAPITOL RAMP S/B BEFORE I ST SW,809933,8491,399203.562,134663.6004,Photo,150,0,150,,No,25,2014-01-12T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.079269323199995,38.965844407500001,464795,2923271,5600 WESTERN AVE NW,804995,4312,393130.42,144216.72,Moving,50,0,,,Yes,2,2014-01-14T00:00:00.000Z,T043,FOLLOW A VEHICLE TOO CLOSELY,
-77.016182522600005,38.904886570599999,465201,2922529,NY AVE W/B @ 4TH ST NW,906275,5435,398596.559997,137447.010013,Photo,150,150,,,No,25,2014-01-12T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.014778132800004,38.905369264699999,465229,2924572,NEW YORK AVE W/B @ NEW JERSEY NW,808095,6936,398718.3825,137500.5723,Photo,150,150,,,No,25,2014-01-16T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.05330828699999,38.902536261199998,465035,2926292,K ST W/B @ 25TH ST NW,904122,4361,395376.196858,137187.332477,Photo,150,300,150,,No,25,2014-01-17T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.004595078799994,38.9089048795,465704,2917150,NEW YORK AVE W/B @ FLORIDA AVE NE,904857,5265,399601.653054,137892.960573,Photo,150,150,,,No,25,2014-01-04T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,
-77.083792643400002,38.9447916652,465521,2924020,WARREN ST NW @ 43RD ST NW,905803,1624,392736.266935,141880.024161,Moving,50,100,50,,No,2,2014-01-15T00:00:00.000Z,T128,PASSING STOP SIGN WITHOUT COMING TO A FULL STOP,
